"","AdmArea","Month","Year","TotalAmount"
"120","Центральный административный округ","Февраль",2017,1129023935.08
"121","Северный административный округ","Февраль",2017,1602594629
"122","Северо-Восточный административный округ","Февраль",2017,1830053108.39
"123","Восточный административный округ","Февраль",2017,2
"124","Юго-Восточный административный округ","Февраль",2017,1939248442.77
"125","Южный административный округ","Февраль",2017,2118182742.97
"126","Юго-Западный административный округ","Февраль",2017,1988362478.96
"127","Западный административный округ","Февраль",2017,1612242419.26
"128","Северо-Западный административный округ","Февраль",2017,1181947947.51
"129","Зеленоградский административный округ","Февраль",2017,391736625.74
"130","Новомосковский административный округ","Февраль",2017,184551646.1
"131","Троицкий административный округ","Февраль",2017,85639635.02
"132","Центральный административный округ","Март",2017,1111853811.94
"133","Северный административный округ","Март",2017,1556592806.34
"134","Северо-Восточный административный округ","Март",2017,1767286992.79
"135","Восточный административный округ","Март",2017,1983749367.58
"136","Юго-Восточный административный округ","Март",2017,1862179109.23
"137","Южный административный округ","Март",2017,2
"138","Юго-Западный административный округ","Март",2017,1902116771.12
"139","Западный административный округ","Март",2017,1566143412.81
"140","Северо-Западный административный округ","Март",2017,1140745813.25
"141","Зеленоградский административный округ","Март",2017,364278791.63
"142","Новомосковский административный округ","Март",2017,184085464.56
"143","Троицкий административный округ","Март",2017,83765315.95
"144","Центральный административный округ","Апрель",2017,1115320815.67
"145","Северный административный округ","Апрель",2017,1565914257.71
"146","Северо-Восточный административный округ","Апрель",2017,1760543566.49
"147","Восточный административный округ","Апрель",2017,1962801541.04
"148","Юго-Восточный административный округ","Апрель",2017,1891634093.84
"149","Южный административный округ","Апрель",2017,2
"150","Юго-Западный административный округ","Апрель",2017,1893320248.98
"151","Западный административный округ","Апрель",2017,1561548332.34
"152","Северо-Западный административный округ","Апрель",2017,1139394713.31
"153","Зеленоградский административный округ","Апрель",2017,361561082.06
"154","Новомосковский административный округ","Апрель",2017,182487007.17
"155","Троицкий административный округ","Апрель",2017,78910739.31
"156","Центральный административный округ","Май",2017,56222516.13
"157","Северный административный округ","Май",2017,1549536326.29
"158","Северо-Восточный административный округ","Май",2017,1773574570.16
"159","Восточный административный округ","Май",2017,1551117859.57
"160","Юго-Восточный административный округ","Май",2017,1551117859.57
"161","Южный административный округ","Май",2017,2
"162","Юго-Западный административный округ","Май",2017,1903266948.33
"163","Западный административный округ","Май",2017,1551117859.57
"164","Северо-Западный административный округ","Май",2017,1138149599.18
"165","Зеленоградский административный округ","Май",2017,376301365.53
"166","Новомосковский административный округ","Май",2017,165598679.36
"167","Троицкий административный округ","Май",2017,72340939.08
"168","Центральный административный округ","Июнь",2017,1131309445.43
"169","Северный административный округ","Июнь",2017,1543550433.92
"170","Северо-Восточный административный округ","Июнь",2017,1762663605.91
"171","Восточный административный округ","Июнь",2017,1551117859.57
"172","Юго-Восточный административный округ","Июнь",2017,1551117859.57
"173","Южный административный округ","Июнь",2017,2
"174","Юго-Западный административный округ","Июнь",2017,1908293173.76
"175","Западный административный округ","Июнь",2017,1549402637.65
"176","Северо-Западный административный округ","Июнь",2017,1130643030.02
"177","Зеленоградский административный округ","Июнь",2017,369272728.49
